AdditionalDriverId,Relationship,RelationshipCode,Title,TitleCode,FirstName,LastName,DateOfBirthDay,DateOfBirthDayCode,DateOfBirthMonth,DateOfBirthMonthCode,DateOfBirthYear,DateOfBirthYearCode,MaritalStatus,MaritalStatusCode,EmploymentStatus,EmploymentStatusCode,OccupationTitleDescription,BusinessTypeDescription,WhyNotWorking,WhyNotWorkingCode,StudentType,StudentTypeCode,IsLivingInUkSinceBirth,IsLivingInUkSinceMonth,IsLivingInUkSinceMonthCode,IsLivingInUkSinceYear,IsLivingInUkSinceYearCode,LicenceTypeFullOrProvisional,LicenceTypeFullOrProvisionalCode,LicenceIssueLocation,LicenceIssueLocationCode,LicenceManualAuto,LicenceManualAutoCode,LicenceHeld,LicenceHeldCode,LicenceDateDayCode,LicenceDateMonth,LicenceDateMonthCode,LicenceDateYear,LicenceDateYearCode,AnyOtherVehicles,AnyOtherVehiclesCode,MedicalConditions,MedicalConditionCode,ClaimIds,ConvictionIds,NonMotoringConvictions
1,Spouse,1,Mr,1,Adam,One,4,4,Jun,6,1976,23,Married,1,Employed,E,Accompanist,Tobacconist,,,,,,,,,,Full,F,UK,F,Manual,F,20 Years,21,,,,,,Own another car or van,2,No,0,13,,No
2,Civil Partner,2,Mrs,2,Betty,Two,5,5,Jul,7,1977,22,Civil Partnered,2,Self-Employed,S,Builder,Builder,,,,,,,,,,Full,F,UK,F,Manual,F,10 Years,11,,,,,,Have use of another car,3,No,0,14,,No
3,Common Law Partner/Cohabitee,3,Mr,1,Charles,Three,6,6,Aug,8,1978,21,Common Law Partnered/Cohabiting,4,Currently not working,currentlynotworking,,,Unemployed,1,,,,,,,,Full,F,UK,F,Manual,F,9 Years,10,,,,,,Company car (including personal use),4,No,0,15,,No
4,Son/Daughter,4,Ms,3,Denise,Four,7,7,Sep,9,1979,20,Single,3,Currently not working,currentlynotworking,,,Houseperson,2,,,,,,,,Provisional,P,UK,F,Manual,F,8 Years,9,,,,,,Company car (excluding personal use),5,No,0,16,,No
5,Parent,5,Miss,4,Esme,Five,8,8,Oct,10,1980,19,Divorced/Dissolved,5,Currently not working,currentlynotworking,,,Retired,3,,,,,,,,Provisional,P,EU,E,Manual,F,7 Years,8,,,,,,No access to any other vehicles,1,No,0,17,,No
6,Other Family,6,Dr - Male,5,Fred,Six,9,9,Nov,11,1981,18,Separated,6,Currently not working,currentlynotworking,,,Not Employed Due to Disability/Illness,4,,,,,,,,Provisional,P,European non-EU,H,Manual,F,6 Years,7,,,,,,No access to any other vehicles,1,No,0,18,,No
7,Employee,7,Dr - Female,6,Glenda,Seven,10,10,Dec,12,1982,17,Widowed/Surviving Civil Partner,7,Employed,E,Greengrocer,Greengrocer,,,,,,,,,,Provisional,P,International,N,Manual,F,5 Years,6,,,,,,No access to any other vehicles,1,No,0,19,,No
8,Employer,8,Mrs,2,Helen,Eight,11,11,Jan,1,1983,16,Married,1,Employed,E,Homeopath,Hospital,,,,,,,,,,Full,F,UK,F,Automatic,FA,4 Years,5,,,,,,No access to any other vehicles,1,No,0,20,,No
9,Business Partner,9,Mr,1,Ibrahim,Nine,12,12,Feb,2,1984,15,Civil Partnered,2,Employed,E,Instructor,Insurance,,,,,,,,,,Full,F,EU,E,Manual,F,4 Years,5,,,,,,No access to any other vehicles,1,No,0,21,,Yes
10,Other,10,Mrs,2,Jessica,Ten,13,13,Mar,3,1985,14,Single,3,Full/Part Time Education,F,,,,,Mature Student - Living At Home,1,,,,,,Full,F,European non-EU,H,Manual,F,4 Years,5,,,,,,No access to any other vehicles,1,No,0,22,,No
11,Brother/Sister,11,Mr,1,Karl,Eleven,14,14,Apr,4,1986,13,Married,1,Full/Part Time Education,F,,,,,Undergraduate Student - Living Away from Home,15,No,Nov,11,2010,5,Full,F,International,N,Manual,F,4 Years,5,,,,,,No access to any other vehicles,1,No,0,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
